"Nome" "Pública ou Privada" "Estado" "Ranking" "RUF"
"1" "Universidade Federal do Rio de Janeiro" "Federal" "RJ" 3 3
"2" "Universidade de SÃ£o Paulo" "Estadual" "SP" 1 1
"3" "Universidade Estadual de Campinas" "Estadual" "SP" 2 2
"4" "Universidade Federal de Minas Gerais" "Federal" "MG" 4 4
"5" "Universidade Federal do Rio Grande do Sul" "Federal" "RS" 5 5
"6" "Universidade Federal de Santa Catarina" "Federal" "SC" 7 7
"7" "Universidade Federal do ParanÃ¡" "Federal" "PR" 8 8
"8" "Universidade Estadual Paulista JÃºlio de Mesquita Filho" "Estadual" "SP" 6 6
"9" "Universidade de BrasÃ­lia" "Federal" "DF" 9 9
"10" "Universidade Federal de Pernambuco" "Federal" "PE" 10 10
"11" "Universidade Federal do CearÃ¡" "Federal" "CE" 11 11
"12" "PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro" "Privada" "RJ" 19 19
"13" "Universidade Federal da Bahia" "Federal" "BA" 14 14
"14" "PontifÃ­cia Universidade CatÃ³lica do Rio Grande do Sul" "Privada" "RS" 18 18
"15" "Universidade Federal de SÃ£o Carlos" "Federal" "SP" 12 12
"16" "Universidade do Estado do Rio de Janeiro" "Estadual" "RJ" 13 13
"17" "Universidade Federal de ViÃ§osa" "Federal" "MG" 15 15
"18" "Universidade Federal Fluminense" "Federal" "RJ" 17 17
"19" "Universidade Federal de SÃ£o Paulo" "Federal" "SP" 16 16
"20" "PontifÃ­cia Universidade CatÃ³lica do ParanÃ¡" "Privada" "PR" 30 30
"21" "Universidade Federal do EspÃ­rito Santo" "Federal" "ES" 27 27
"22" "Universidade Federal de GoiÃ¡s" "Federal" "GO" 20 20
"23" "Universidade Federal do ParÃ¡" "Federal" "PA" 29 29
"24" "Universidade Federal do Rio Grande do Norte" "Federal" "RN" 22 22
"25" "Universidade Federal de Santa Maria" "Federal" "RS" 21 21
"26" "Universidade Federal de Juiz de Fora" "Federal" "MG" 26 26
"27" "Universidade Estadual de Londrina" "Estadual" "PR" 23 23
"28" "Universidade Federal de Lavras" "Federal" "MG" 28 28
"29" "Universidade Federal de UberlÃ¢ndia" "Federal" "MG" 25 25
"30" "Universidade Estadual de MaringÃ¡" "Estadual" "PR" 24 24
"31" "Universidade Federal de Pelotas" "Federal" "RS" 32 32
"32" "Universidade Presbiteriana Mackenzie" "Privada" "SP" 34 34
"33" "Universidade Federal de Ouro Preto" "Federal" "MG" 39 39
"34" "FundaÃ§Ã£o Universidade Federal do Abc" "Federal" "SP" 38 38
"35" "Universidade de Caxias do Sul" "Privada" "RS" 42 42
"36" "Universidade Federal da ParaÃ­ba" "Federal" "PB" 31 31
"37" "Universidade Federal de Sergipe" "Federal" "SE" 37 37
"38" "Universidade Federal de ItajubÃ¡" "Federal" "MG" 53 53
"39" "Universidade Federal de SÃ£o JoÃ£o Del Rei" "Federal" "MG" 50 50
"40" "Universidade Estadual do Norte Fluminense Darcy Ribeiro" "Estadual" "RJ" 43 43
"41" "Universidade do Vale do Rio dos Sinos" "Privada" "RS" 36 36
"42" "Universidade Federal Rural do Rio de Janeiro" "Federal" "RJ" 35 35
"43" "Universidade CatÃ³lica de BrasÃ­lia" "Privada" "DF" 57 57
"44" "Universidade Federal de Mato Grosso" "Federal" "MT" 33 33
"45" "Universidade Federal de Alagoas" "Federal" "AL" 45 45
"46" "Universidade Federal de Mato Grosso do Sul" "Federal" "MS" 41 41
"47" "PontifÃ­cia Universidade CatÃ³lica de Minas Gerais" "Privada" "MG" 49 49
"48" "Universidade TecnolÃ³gica Federal do ParanÃ¡" "Federal" "PR" 47 47
"49" "Universidade Estadual de Ponta Grossa" "Estadual" "PR" 48 48
"50" "FundaÃ§Ã£o Universidade do Estado de Santa Catarina" "Estadual" "SC" 40 40
"51" "Universidade Estadual de Santa Cruz" "Estadual" "BA" 59 59
"52" "Universidade Estadual do CearÃ¡" "Estadual" "CE" 55 55
